Ortho,Phono,LogFreq
agenfi,@JEnfi,9.19
albinif,alb!nIf,6.76
antennald,antEn@ld,8.8
bachelove,baC@l@v,7.7
bargait,bArg@t,8.25
bayonug,be@nVg,6.4
bikineer,bIkinIr,7.24
brambo,brambo,5.59
buffaloak,bVf@lok,9.03
cabarix,kab#rIks,6.53
canyok,kanj@k,8.35
casinige,k@sinIJ,8.44
chocolab,COkl@b,9.16
cobalve,kobOlv,6.06
costuke,kAstuk,8.13
couscall,kuskAl,5.25
creval,kr@val,7.38
dolphik,dAlfIk,7.4
dungeoth,dVnJ@T,8.17
fanfairge,fanfErZ,6.69
fiascot,fiaskot,7.21
fiestak,fiEst@k,6.42
flimzool,flImzul,6.68
flotsak,flAts@k,5
fortuve,fOrC@v,9.68
kimota,kImotA,4.94
lamex,l@mEks,6.55
lecturb,lEkt#b,3.18
libidel,lIbitEl,6
mayonnote,me@nAt,5.56
mushrood,mVSrud,7.54
napkig,napkIg,5.76
origive,Or@J@v,9.75
pagodax,p@got@ks,5.58
parsleyme,pArslim,6.66
pelviv,pElvIv,6.95
picnin,pIknIn,7.23
potatuck,p@tetUk,8.06
profige,prof!J,9.35
pulpim,pUlpIm,5.92
rescyo,rEskjo,9.33
revenyol,rEv@nol,9.03
scaffost,skafost,4.39
sesamo,sEs@mo,7.68
shrapno,Srapno,6.19
silhoueb,sIluEb,7.68
slenderne,slEnt#n,7.5
slogat,slog@t,7.34
sonatam,s@nAt@m,6.67
soverot,sAvrUt,7.95
targil,tArgIl,10.3
thorant,TOrant,4.63
turquoil,t#kwYl,5.91
vaccik,vaksik,8.7